#StationName  TWD97 - 250000 meters					WGS84(latitude,longitude)
富洲里八段	48443.801843116569,2777405.2885484966	25.104201,121.480329
富洲里八段	49049.503799810693,2777644.0555417123	25.106337,121.486343
富洲里八段	49070.881723129838,2777701.0559267425	25.1068509,121.486557
富洲里八段	48569.870827756422,2777519.4955571089	25.105228,121.481583
富洲里八段	48564.158677945743,2777565.7648463314	25.1056459,121.481528
富洲里八段	49058.287291516281,2777669.5636831364	25.106567,121.486431
富洲里八段	49000.80825592373,2777667.0306296642	25.106546,121.485861
富洲里八段	48984.274916005656,2777667.8572898814	25.106554,121.4856971
富洲里八段	48541.731547362826,2777559.127466884	25.1055867,121.4813054
富洲里八段	49685.066936937757,2777653.780880698	25.106404,121.492645
洲美橋	50305.988473819263,2776193.2645973573	25.093198,121.498748
市立天文科學館	52276.947325669462,2776492.1355425883	25.0958292,121.5182994
科學教育館	52177.463608219252,2776436.7912365622	25.095333,121.517311
科學教育館	52276.947325669462,2776492.1355425883	25.0958292,121.5182994
科學教育館	59549.805419915741,2773599.3206134667	25.069444,121.590278
士林高商	52040.153576129625,2776339.3443394345	25.094458,121.515946
福林橋	53117.261999748924,2776975.4429078591	25.1001631,121.5266491
忠誠公園	53027.333098641684,2777351.1388721676	25.103558,121.525772
忠誠公園	-34273.571805065505,2672871.5803492223	24.1607895,120.6627121
雨農國小	53398.04999299151,2777542.1114664837	25.105269,121.529455
蘭雅新城	53430.514793660157,2777750.7044496476	25.107151,121.529785
蘭雅國中	53542.942854066,2778116.6811134717	25.110451,121.530914
天母棒球場	53643.239485861595,2778437.3069609404	25.113342,121.531921
天母棒球場	53691.225913036535,2778365.3859618334	25.112691,121.532394
啟智學校	54075.856960158948,2778801.7849511183	25.116617,121.536225
三玉宮	53495.054669629484,2778961.7545638187	25.1180819,121.5304721
齊賢華廈	52988.476945601491,2779016.1651549358	25.118591,121.525451
榮總一	52495.234312421206,2779042.167441519	25.118843,121.520561
榮總	52242.248098447948,2779005.8590231212	25.118524,121.518051
永明派出所	52126.182585727969,2778942.8189778035	25.1179589,121.5168977
綜合市場	49475.366992078394,2769257.9936457272	25.030614,121.490264
捷運石牌站	51992.633595924184,2778561.7202595365	25.114523,121.515559
齊福華廈	53200.948771581548,2778993.7326405561	25.118381,121.527557
德行(中山忠誠路口)	52951.247687409719,2777308.8617832917	25.103179,121.525016
八仙樂園	39354.415934737124,2781758.6687875842	25.1437679,121.3903328
廈竹圍	39695.252246865661,2781783.2640222493	25.143981,121.393714
土地公廟	58441.434436715972,2785005.7483295179	25.1724619,121.5797776
土地公廟	-19862.125360984348,2707403.99758245	24.4728355,120.8040564
土地公廟	-27957.651749604829,2556832.4755006558	23.113093,120.7270479
八里	40327.051515811749,2782451.82824862	25.15,121.4
舊城里	41194.336367306867,2783039.167734121	25.155279,121.40862
八里區公所	40470.324970895315,2782381.1418329524	25.149358,121.401419
八里服務站	40615.146192835695,2782332.8364231214	25.148918,121.402854
八里國小	40640.526043041362,2782375.5574971535	25.149303,121.403107
中廣公司	40863.415801398463,2782651.7028955356	25.15179,121.405326
山海觀	-37934.986274328148,2610675.4456696431	23.5991039,120.628288
田心(十三行博物館)	56018.26874909785,2774617.606369867	25.078772,121.555315
十三行博物館	40836.3282340672,2783211.2047395487	25.1568419,121.405074
八里污水處理廠	41325.968224068631,2783580.3319673655	25.160161,121.409942
十三行文化公園	41673.05991597916,2783778.1146150366	25.161937,121.413391
挖子尾自然保留區	42092.652400799692,2783868.7974104807	25.162744,121.417556
